date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-07-22,MI,152,0.9991662523733658,0.9990433507137078,0.9273066363796352,1.080562091001277,900.6643903706996,950.9437663773537,937.713369149172,671,30238,30238,671,6
2020-07-23,MI,153,1.0012061676945274,1.001186270502477,0.9124075283277512,1.0695287934355306,899.7936572568077,950.6541482778556,1092.6300270049037,701,27111,27111,701,7
2020-07-24,MI,154,1.00204110841438,1.0022766673424193,0.9270525603764884,1.0854167415388143,899.3219815543104,950.0003675103652,970.0902890385852,641,27922,27922,641,5
2020-07-25,MI,155,1.0046348069155144,1.0020317491549524,0.9298837174825088,1.082946743297053,899.2134841178647,949.0568242093076,0,0,0,0,0,0
2020-07-26,MI,156,1.0034447395436852,1.0014622307934085,0.9211025002461316,1.0741299906204231,899.3516780299782,947.8899056596816,1196.9531982197166,1589,56098,56098,1589,0
2020-07-27,MI,157,1.005679852741184,1.0046133982144712,0.9319235257146103,1.0831485345046017,899.795505047945,946.5678685625091,727.3720990286447,512,29745,29745,512,5
2020-07-28,MI,158,1.0062009659883009,1.0046374995742826,0.922237420178391,1.0744830760152269,900.3703258826953,945.1719767847488,1210.9625421955373,785,27393,27393,785,16
2020-07-29,MI,159,1.0081159591268287,1.0078994582702356,0.9389150354603042,1.0978019700437107,901.0546480700066,943.7828135033694,656.9648302704085,1016,65351,65351,1016,1
2020-07-30,MI,160,1.0104739957858566,1.0078776683900763,0.9332028480441196,1.0938592151802071,901.9417913187888,942.4717161208024,1709.7796528426688,807,19945,19945,807,21
2020-07-31,MI,161,1.0106581135462898,1.007716723576745,0.9154675891087422,1.0765144296601272,903.0736349011024,941.2970618566032,1071.6669694129955,793,31269,31269,793,7
2020-08-01,MI,162,1.010633043581162,1.0117285790545143,0.9258033874071704,1.08337562297515,904.5472092300656,940.2962305142952,989.1286382714632,758,32383,32383,758,7
2020-08-02,MI,163,1.013756511891288,1.0130557029401903,0.936101386199014,1.0942434634207363,906.2473082229913,939.4979923167302,724.8145225261368,429,25011,25011,429,0
2020-08-03,MI,164,1.01605717274971,1.014383228213524,0.939847312852852,1.0956432788483037,908.021747716288,938.9141507303108,1036.8929481943494,613,24982,24982,613,6
2020-08-04,MI,165,1.0171442248921871,1.0139455260830794,0.9324942106443072,1.0872644457315168,910.0723425227676,938.5426084190972,1226.7328216435044,801,27592,27592,801,8
2020-08-05,MI,166,1.0179771653945993,1.016738291340813,0.9272702981508784,1.0827104025349883,912.5774691211884,938.3797703106316,1164.3959378317434,718,26057,26057,718,7
2020-08-06,MI,167,1.0169416032136909,1.0156152535838137,0.9283914154535016,1.0798298451534118,915.4127093021208,938.4267290560376,1235.0508948432414,763,26106,26106,763,28
2020-08-07,MI,168,1.0201700443751034,1.0175032245895128,0.9467433060927908,1.103106143289131,918.4098245435076,938.6910497698584,1145.9291578316645,814,30017,30017,814,18
2020-08-08,MI,169,1.0223454715018618,1.0169918158497524,0.9438791520294972,1.0949390149365537,921.3904948795148,939.1776720856136,790.8279222515048,721,38526,38526,721,-4
